date,fafh,metro,cpi_all_us,federal_rate,core_state_rate,local_rate_max,multistate_avg_rate,mw_core_local,log_fafh,log_cpi_all_us,log_mw_core_local,log_mw_multistate,dlog_fafh,dlog_cpi_all_us,dlog_mw_core_local,dlog_mw_multistate,lead_dlog_mw_core,lag_dlog_mw_core,treated_core,month,year
2011-05-01,241.751,New York,225.964,7.25,7.25,NA,7.25,7.25,5.487908270829502,5.4203756945485635,1.9810014688665833,1.9810014688665833,0.0030988892835441817,0.004693157415371019,0,0,0,0,0,5,2011
2011-06-01,243.078,New York,225.722,7.25,7.25,NA,7.25,7.25,5.493382379489354,5.419304153596862,1.9810014688665833,1.9810014688665833,0.005474108659852206,-0.0010715409517016994,0,0,0,0,0,6,2011
2011-07-01,243.772,New York,225.922,7.25,7.25,NA,7.25,7.25,5.4962333622153485,5.420189806956911,1.9810014688665833,1.9810014688665833,0.0028509827259943776,8.856533600489769e-4,0,0,0,0,0,7,2011
2011-08-01,244.417,New York,226.545,7.25,7.25,NA,7.25,7.25,5.4988757829798605,5.4229436006864145,1.9810014688665833,1.9810014688665833,0.0026424207645119324,0.002753793729503684,0,0,0,0,0,8,2011
2011-09-01,244.746,New York,226.889,7.25,7.25,NA,7.25,7.25,5.500220938069714,5.424460911104236,1.9810014688665833,1.9810014688665833,0.0013451550898535558,0.0015173104178218821,0,0,0,0,0,9,2011
2011-10-01,245.045,New York,226.421,7.25,7.25,NA,7.25,7.25,5.501441867148208,5.422396098211185,1.9810014688665833,1.9810014688665833,0.0012209290784941373,-0.002064812893051382,0,0,0,0,0,10,2011
2011-11-01,244.831,New York,226.23,7.25,7.25,NA,7.25,7.25,5.500568176607692,5.421552180882665,1.9810014688665833,1.9810014688665833,-8.736905405157813e-4,-8.439173285195167e-4,0,0,0,0,0,11,2011
2011-12-01,245.155,New York,225.672,7.25,7.25,NA,7.25,7.25,5.50189066356537,5.419082617642886,1.9810014688665833,1.9810014688665833,0.001322486957677782,-0.0024695632397797596,0,0,0,0,0,12,2011
2012-01-01,247.043,New York,226.665,7.25,7.25,NA,7.25,7.25,5.50956241054506,5.423473156533833,1.9810014688665833,1.9810014688665833,0.007671746979689864,0.004390538890947759,0,0,0,0,0,1,2012
2012-02-01,247.169,New York,227.663,7.25,7.25,NA,7.25,7.25,5.510072313188986,5.42786646535571,1.9810014688665833,1.9810014688665833,5.099026439259191e-4,0.004393308821876829,0,0,0,0,0,2,2012
2012-03-01,247.632,New York,229.392,7.25,7.25,NA,7.25,7.25,5.511943773170404,5.435432330503912,1.9810014688665833,1.9810014688665833,0.0018714599814178001,0.007565865148201567,0,0,0,0,0,3,2012
2012-04-01,248.345,New York,230.085,7.25,7.25,NA,7.25,7.25,5.5148189084737025,5.438448805868182,1.9810014688665833,1.9810014688665833,0.002875135303298748,0.003016475364270299,0,0,0,0,0,4,2012
2012-05-01,248.953,New York,229.815,7.25,7.25,NA,7.25,7.25,5.5172641236281565,5.437274637435826,1.9810014688665833,1.9810014688665833,0.0024452151544540612,-0.0011741684323558488,0,0,0,0,0,5,2012
2012-06-01,249.357,New York,229.478,7.25,7.25,NA,7.25,7.25,5.518885604587866,5.435807164339233,1.9810014688665833,1.9810014688665833,0.001621480959709487,-0.0014674730965928973,0,0,0,0,0,6,2012
2012-07-01,250.052,New York,229.104,7.25,7.25,NA,7.25,7.25,5.521668896233246,5.434176048931651,1.9810014688665833,1.9810014688665833,0.002783291645379826,-0.0016311154075827616,0,0,0,0,0,7,2012
2012-08-01,250.857,New York,230.379,7.25,7.25,NA,7.25,7.25,5.524883055663505,5.439725778834369,1.9810014688665833,1.9810014688665833,0.003214159430259045,0.00554972990271807,0,0,0,0,0,8,2012
2012-09-01,251.001,New York,231.407,7.25,7.25,NA,7.25,7.25,5.525456923187592,5.444178064950263,1.9810014688665833,1.9810014688665833,5.738675240873903e-4,0.004452286115894211,0,0,0,0,0,9,2012
2012-10-01,251.262,New York,231.317,7.25,7.25,NA,7.25,7.25,5.526496219426786,5.443789064158711,1.9810014688665833,1.9810014688665833,0.0010392962391936322,-3.890007915519078e-4,0,0,0,0,0,10,2012
2012-11-01,251.385,New York,230.221,7.25,7.25,NA,7.25,7.25,5.526985628504947,5.439039717148753,1.9810014688665833,1.9810014688665833,4.894090781606408e-4,-0.004749347009957994,0,0,0,0,0,11,2012
2012-12-01,250.607,New York,229.601,7.25,7.25,NA,7.25,7.25,5.523885975032744,5.436343019836624,1.9810014688665833,1.9810014688665833,-0.003099653472202313,-0.0026966973121291815,0,0,0,0,0,12,2012
2013-01-01,251.029,New York,230.28,7.25,7.25,NA,7.25,7.25,5.525568470306406,5.439295959807609,1.9810014688665833,1.9810014688665833,0.0016824952736618215,0.0029529399709851134,0,0,0,0,0,1,2013
2013-02-01,251.087,New York,232.166,7.25,7.25,NA,7.25,7.25,5.525799492621003,5.447452633047269,1.9810014688665833,1.9810014688665833,2.310223145967072e-4,0.008156673239660073,0,0,0,0,0,2,2013
2013-03-01,251.418,New York,232.773,7.25,7.25,NA,7.25,7.25,5.5271168926384036,5.4500637297497105,1.9810014688665833,1.9810014688665833,0.0013174000174007716,0.002611096702441529,0,0,0,0,0,3,2013
2013-04-01,252.502,New York,232.531,7.25,7.25,NA,7.25,7.25,5.531419169476124,5.4490235494726456,1.9810014688665833,1.9810014688665833,0.004302276837720775,-0.0010401802770649837,0,0,0,0,0,4,2013
2013-05-01,252.233,New York,232.945,7.25,7.25,NA,7.25,7.25,5.530353263503807,5.4508023741990135,1.9810014688665833,1.9810014688665833,-0.0010659059723172604,0.0017788247263679224,0,0,0,0,0,5,2013
2013-06-01,252.848,New York,233.504,7.25,7.25,NA,7.25,7.25,5.532788517666748,5.45319920758321,1.9810014688665833,1.9810014688665833,0.0024352541629406588,0.002396833384196384,0,0,0,0,0,6,2013
2013-07-01,253.232,New York,233.596,7.25,7.25,NA,7.25,7.25,5.534306064590927,5.453593127519795,1.9810014688665833,1.9810014688665833,0.0015175469241794914,3.9391993658544067e-4,0,0,0,0,0,7,2013
2013-08-01,253.645,New York,233.877,7.25,7.25,NA,7.25,7.25,5.535935651616558,5.454795336134386,1.9810014688665833,1.9810014688665833,0.0016295870256310963,0.0012022086145906385,0,0,0,0,0,8,2013
2013-09-01,252.886,New York,234.149,7.25,7.25,NA,7.25,7.25,5.532938794294665,5.455957664853829,1.9810014688665833,1.9810014688665833,-0.0029968573218930317,0.0011623287194426624,0,0,0,0,0,9,2013
2013-10-01,252.03,New York,233.546,7.25,7.25,NA,7.25,7.25,5.5295481280448655,5.453379059847906,1.9810014688665833,1.9810014688665833,-0.0033906662497997786,-0.002578605005922441,0,0,0,0,0,10,2013
2013-11-01,253.466,New York,233.069,7.25,7.25,NA,7.25,7.25,5.5352296917480714,5.451334547064749,1.9810014688665833,1.9810014688665833,0.0056815637032059385,-0.002044512783156982,0,0,0,0,0,11,2013
2013-12-01,253.684,New York,233.049,7.25,7.25,NA,7.25,7.25,5.536089398002343,5.451248731884849,1.9810014688665833,1.9810014688665833,8.597062542712308e-4,-8.581517989991738e-5,0,0,0.0984400728132524,0,0,12,2013
2014-01-01,254.255,New York,233.916,7.25,8,NA,8.125,8,5.538337700418685,5.454962076552008,2.0794415416798357,2.094945728215801,0.0022483024163424403,0.003713344667159113,0.0984400728132524,0.1139442593492177,0,0,1,1,2014
2014-02-01,254.884,New York,234.781,7.25,8,NA,8.125,8,5.5408085396983555,5.45865316474789,2.0794415416798357,2.094945728215801,0.0024708392796704004,0.0036910881958815978,0,0,0,0.0984400728132524,0,2,2014
2014-03-01,255.034,New York,236.293,7.25,8,NA,8.125,8,5.541396869603661,5.4650725603939465,2.0794415416798357,2.094945728215801,5.883299053053292e-4,0.006419395646056536,0,0,0,0,0,3,2014
2014-04-01,255.141,New York,237.072,7.25,8,NA,8.125,8,5.541816333519254,5.468363892466379,2.0794415416798357,2.094945728215801,4.194639155929991e-4,0.0032913320724325956,0,0,0,0,0,4,2014
2014-05-01,255.279,New York,237.9,7.25,8,NA,8.125,8,5.542357064695001,5.471850417308912,2.0794415416798357,2.094945728215801,5.407311757474886e-4,0.0034865248425326456,0,0,0,0,0,5,2014
2014-06-01,255.908,New York,238.343,7.25,8,NA,8.125,8,5.544818004888892,5.4737108126439455,2.0794415416798357,2.094945728215801,0.0024609401938908704,0.0018603953350337932,0,0,0,0,0,6,2014
2014-07-01,259.4,New York,238.25,7.25,8,NA,8.125,8,5.5583712718823435,5.473320542534312,2.0794415416798357,2.094945728215801,0.013553266993451274,-3.902701096336614e-4,0,0,0,0,0,7,2014
2014-08-01,259.709,New York,237.852,7.25,8,NA,8.125,8,5.5595617734398015,5.471648631503859,2.0794415416798357,2.094945728215801,0.0011905015574580347,-0.0016719110304528328,0,0,0,0,0,8,2014
2014-09-01,260.756,New York,238.031,7.25,8,NA,8.125,8,5.563585104162644,5.472400917290247,2.0794415416798357,2.094945728215801,0.004023330722842111,7.522857863877519e-4,0,0,0,0,0,9,2014
2014-10-01,261.635,New York,237.433,7.25,8,NA,8.125,8,5.5669504026826155,5.469885478412363,2.0794415416798357,2.094945728215801,0.0033652985199719154,-0.0025154388778840797,0,0,0,0,0,10,2014
2014-11-01,261.856,New York,236.151,7.25,8,NA,8.125,8,5.567794734344972,5.464471430929815,2.0794415416798357,2.094945728215801,8.443316623560904e-4,-0.005414047482547701,0,0,0,0,0,11,2014
2014-12-01,261.767,New York,234.812,7.25,8,NA,8.125,8,5.56745479511061,5.45878519397339,2.0794415416798357,2.094945728215801,-3.3993923436170803e-4,-0.005686236956425006,0,0,0.08961215868968742,0,0,12,2014
2015-01-01,261.803,New York,233.707,7.25,8.75,NA,8.565000000000001,8.75,5.567592312539251,5.45406819402734,2.169053700369523,2.1476841317760833,1.3751742864087646e-4,-0.0047169999460496825,0.08961215868968742,0.052738403560282254,0,0,1,1,2015
2015-02-01,262.549,New York,234.722,7.25,8.75,NA,8.565000000000001,8.75,5.5704377312782904,5.4584018351490995,2.169053700369523,2.1476841317760833,0.0028454187390396513,0.0043336411217591575,0,0,0,0.08961215868968742,0,2,2015
2015-03-01,262.687,New York,236.119,7.25,8.75,NA,8.565000000000001,8.75,5.570963209361192,5.464335915228843,2.169053700369523,2.1476841317760833,5.254780829018202e-4,0.005934080079743609,0,0,0,0,0,3,2015
2015-04-01,262.786,New York,236.599,7.25,8.75,NA,8.565000000000001,8.75,5.571340012740896,5.466366724992667,2.169053700369523,2.1476841317760833,3.76803379703361e-4,0.0020308097638235267,0,0,0,0,0,4,2015
2015-05-01,264.191,New York,237.805,7.25,8.75,NA,8.565000000000001,8.75,5.5766723264058005,5.471451010107966,2.169053700369523,2.1476841317760833,0.005332313664904831,0.005084285115299458,0,0,0,0,0,5,2015
2015-06-01,264.286,New York,238.638,7.25,8.75,NA,8.565000000000001,8.75,5.577031850097554,5.4749477593467,2.169053700369523,2.1476841317760833,3.5952369175351606e-4,0.0034967492387343313,0,0,0,0,0,6,2015
2015-07-01,264.876,New York,238.654,7.25,8.75,NA,8.565000000000001,8.75,5.579261791947075,5.475014804258436,2.169053700369523,2.1476841317760833,0.0022299418495208556,6.704491173525895e-5,0,0,0,0,0,7,2015
2015-08-01,264.98,New York,238.316,7.25,8.75,NA,8.565000000000001,8.75,5.579654351439977,5.473597524108414,2.169053700369523,2.1476841317760833,3.925594929024001e-4,-0.001417280150021405,0,0,0,0,0,8,2015
2015-09-01,266.439,New York,237.945,7.25,8.75,NA,8.565000000000001,8.75,5.585145324347724,5.4720395545285285,2.169053700369523,2.1476841317760833,0.005490972907746361,-0.001557969579885743,0,0,0,0,0,9,2015
2015-10-01,266.39,New York,237.838,7.25,8.75,NA,8.565000000000001,8.75,5.584961400424145,5.471589769640023,2.169053700369523,2.1476841317760833,-1.8392392357835519e-4,-4.497848885058886e-4,0,0,0,0,0,10,2015
2015-11-01,267.327,New York,237.336,7.25,8.75,NA,8.565000000000001,8.75,5.588472628144706,5.469476858635799,2.169053700369523,2.1476841317760833,0.0035112277205611164,-0.0021129110042235055,0,0,0,0,0,11,2015
2015-12-01,267.39,New York,236.525,7.25,8.75,NA,8.565000000000001,8.75,5.588708266810736,5.466053910590508,2.169053700369523,2.1476841317760833,2.3563866602938077e-4,-0.0034229480452907524,0,0,0.0281708769666964,0,0,12,2015
2016-01-01,269.68,New York,236.916,7.25,9,NA,8.690000000000001,9,5.597236070925805,5.467705647930092,2.1972245773362196,2.162172939277301,0.008527804115069593,0.001651737339583903,0.0281708769666964,0.014488807501217504,0,0,1,1,2016
2016-02-01,270.223,New York,237.111,7.25,9,NA,8.690000000000001,9,5.59924754403517,5.468528385921808,2.1972245773362196,2.162172939277301,0.002011473109364559,8.227379917160604e-4,0,0,0,0.0281708769666964,0,2,2016
2016-03-01,271.062,New York,238.132,7.25,9,NA,8.690000000000001,9,5.602347577000847,5.472825141774361,2.1972245773362196,2.162172939277301,0.0031000329656771797,0.004296755852553069,0,0,0,0,0,3,2016
2016-04-01,272.192,New York,239.261,7.25,9,NA,8.690000000000001,9,5.606507699631169,5.4775550062876475,2.1972245773362196,2.162172939277301,0.0041601226303216166,0.004729864513286053,0,0,0,0,0,4,2016
2016-05-01,272.376,New York,240.229,7.25,9,NA,8.690000000000001,9,5.607183464666948,5.481592635081006,2.1972245773362196,2.162172939277301,6.757650357789302e-4,0.004037628793358117,0,0,0,0,0,5,2016
2016-06-01,272.814,New York,241.018,7.25,9,NA,8.690000000000001,9,5.608790244300593,5.484871619498266,2.1972245773362196,2.162172939277301,0.0016067796336454165,0.0032789844172604887,0,0,0,0,0,6,2016
2016-07-01,274.078,New York,240.628,7.25,9,NA,8.690000000000001,9,5.613412737409664,5.4832521724967975,2.1972245773362196,2.162172939277301,0.004622493109071257,-0.0016194470014685436,0,0,0,0,0,7,2016
2016-08-01,274.357,New York,240.849,7.25,9,NA,8.690000000000001,9,5.614430178032776,5.484170181105808,2.1972245773362196,2.162172939277301,0.0010174406231113764,9.180086090108119e-4,0,0,0,0,0,8,2016
2016-09-01,275.078,New York,241.428,7.25,9,NA,8.690000000000001,9,5.617054693813019,5.4865712919951,2.1972245773362196,2.162172939277301,0.002624515780243364,0.0024011108892914024,0,0,0,0,0,9,2016
2016-10-01,276.025,New York,241.729,7.25,9,NA,8.690000000000001,9,5.620491441325201,5.487817263962557,2.1972245773362196,2.162172939277301,0.0034367475121817037,0.0012459719674575709,0,0,0,0,0,10,2016
2016-11-01,276.552,New York,241.353,7.25,9,NA,8.690000000000001,9,5.622398868379823,5.486260592110044,2.1972245773362196,2.162172939277301,0.0019074270546219907,-0.0015566718525130696,0,0,0,0,0,11,2016
2016-12-01,276.672,New York,241.432,7.25,9,NA,8.690000000000001,9,5.6228326890451665,5.486587859944402,2.1972245773362196,2.162172939277301,4.3382066534380925e-4,3.272678343577695e-4,0,0,0.07490130817311735,0,0,12,2016
2017-01-01,277.261,New York,242.839,7.25,9.7,NA,9.07,9.7,5.624959300826657,5.492398672316018,2.272125885509337,2.2049722641270453,0.0021266117814908725,0.005810812371615626,0.07490130817311735,0.04279932484974447,0,0,1,1,2017
2017-02-01,276.661,New York,243.603,7.25,9.7,NA,9.07,9.7,5.622792929985065,5.495539851030846,2.272125885509337,2.2049722641270453,-0.0021663708415919913,0.003141178714828108,0,0,0,0.07490130817311735,0,2,2017
2017-03-01,278.974,New York,243.801,7.25,9.7,NA,9.07,9.7,5.631118587514753,5.496352318761483,2.272125885509337,2.2049722641270453,0.008325657529687724,8.124677306371453e-4,0,0,0,0,0,3,2017
2017-04-01,279.083,New York,244.524,7.25,9.7,NA,9.07,9.7,5.631509228619107,5.4993134636068,2.272125885509337,2.2049722641270453,3.906411043539393e-4,0.0029611448453170652,0,0,0,0,0,4,2017
